,total_cells,total_genes,n_ct,ct_less_cells,ct_more_cells,highest_expressed,readsxcell
d0c12af4-c0e4-4c7b-873a-70752b449689,4065.0,230.0,9.0,0.005904059040590406,0.3990159901599016,323.64329643296435,1464.9040590405905
105c7dad-0468-4628-a5be-2bb42c6a8ae4,15021.0,191.0,9.0,0.0008654550296251914,0.9362891951268224,77.95206710605153,420.1025897077425
a37f857c-779f-464e-9310-3db43a1811e7,8024.0,160.0,17.0,0.0024925224327018943,0.22719341974077767,229.48753738783648,1130.8543120638085
74cff64f-9da9-4b2a-9b3b-8a04a1598040,12182.0,200.0,8.0,0.001231324905598424,0.8300771630274175,319.86808405844687,1823.2123625020522
2aa1c93c-4ef3-4e9a-98e7-0bd37933953c,7247.0,162.0,17.0,0.00607147785290465,0.2987443079895129,465.57899820615427,3886.0587829446667
842c6f5d-4a94-4eef-8510-8c792d1124bc,14639.0,192.0,14.0,0.0010246601543821298,0.29933738643349955,625.3882778878339,3326.6093312384724
d4e69e01-3ba2-4d6b-a15d-e7048f78f22e,15354.0,196.0,17.0,0.0009769441187964048,0.5007815552950371,48.78813338543702,243.12114107073074
dd018fc0-8da7-4033-a2ba-6b47de8ebb4f,2662.0,187.0,4.0,0.021788129226145755,0.8767843726521413,246.5755071374906,851.5702479338843
e5233a94-9e43-418c-8209-6f1400c31530,15939.0,160.0,25.0,0.0007528703180877094,0.5143986448334275,371.29857582031497,1356.508814856641
c888b684-6c51-431f-972a-6c963044cef0,11757.0,214.0,7.0,0.0009356128264012928,0.8682487029003998,68.8379688696096,520.814493493238
fe4b89d5-461e-440c-a5a8-621b37b122c0,3175.0,197.0,8.0,0.005669291338582677,0.3763779527559055,99.19905511811024,744.7798425196851
b07fb54c-d7ad-4995-8bb0-8f3d8611cabe,11715.0,143.0,12.0,0.0011096884336320957,0.6177550149381136,301.555185659411,1630.233546734955
65badd7a-9262-4fd1-9ce2-eb5dc0ca8039,10543.0,226.0,10.0,0.0013278952859717347,0.5455752632078156,56.261974769989564,316.9924120269373
572f3f3e-d3e4-4d13-8e2b-88215e508481,3117.0,196.0,6.0,0.03593198588386269,0.6531921719602182,327.130253448829,451.6977863330125
